consumer_id,archetype
1,evening
2,daytime
3,evening
4,flat
5,weekend
6,weekend
7,weekend
8,flat
9,weekend
10,evening
11,flat
12,flat
13,evening
14,daytime
15,evening
16,flat
17,weekend
18,evening
19,daytime
20,evening
21,flat
22,weekend
23,flat
24,daytime
25,weekend
26,evening
27,weekend
28,daytime
29,weekend
30,weekend
31,flat
32,weekend
33,daytime
34,daytime
35,daytime
36,evening
37,weekend
38,evening
39,evening
40,daytime
41,flat
42,daytime
43,flat
44,evening
45,weekend
46,daytime
47,daytime
48,evening
49,daytime
50,evening
51,flat
52,evening
53,flat
54,daytime
55,evening
56,flat
57,weekend
58,weekend
59,weekend
60,evening
61,evening
62,daytime
63,weekend
64,daytime
65,daytime
66,evening
67,daytime
68,daytime
69,evening
70,weekend
71,evening
72,evening
73,weekend
74,weekend
75,weekend
76,evening
77,daytime
78,flat
79,flat
80,weekend
81,daytime
82,daytime
83,weekend
84,weekend
85,weekend
86,flat
87,weekend
88,daytime
89,daytime
90,weekend
91,evening
92,flat
93,flat
94,daytime
95,evening
96,daytime
97,weekend
98,evening
99,weekend
100,flat
101,flat
102,weekend
103,flat
104,weekend
105,daytime
106,daytime
107,evening
108,flat
109,weekend
110,evening
111,evening
112,evening
113,flat
114,evening
115,daytime
116,weekend
117,daytime
118,weekend
119,flat
120,evening
121,weekend
122,flat
123,evening
124,evening
125,daytime
126,evening
127,weekend
128,evening
129,flat
130,weekend
131,flat
132,evening
133,flat
134,evening
135,flat
136,flat
137,evening
138,weekend
139,weekend
140,weekend
141,evening
142,evening
143,daytime
144,daytime
145,weekend
146,evening
147,flat
148,evening
149,weekend
150,weekend
151,flat
152,flat
153,flat
154,flat
155,daytime
156,daytime
157,flat
158,evening
159,evening
160,flat
161,daytime
162,flat
163,weekend
164,weekend
165,flat
166,daytime
167,evening
168,daytime
169,evening
170,daytime
171,daytime
172,flat
173,weekend
174,weekend
175,flat
176,daytime
177,daytime
178,flat
179,flat
180,daytime
181,flat
182,flat
183,daytime
184,evening
185,weekend
186,daytime
187,daytime
188,evening
189,flat
190,weekend
191,flat
192,daytime
193,flat
194,flat
195,flat
196,daytime
197,daytime
198,daytime
199,weekend
200,evening
