component,eigenvalue,explained_variance_ratio,cumulative_variance
1,13.047523500346633,0.3328791252011513,0.3328791252011513
2,10.418893936571095,0.2658153709458523,0.5986944961470035
3,4.706439461197091,0.12007454522797706,0.7187690413749805
4,2.8141706995253286,0.07179743194942825,0.7905664733244088
5,2.2801035485095293,0.05817187258376876,0.8487383459081775
6,1.2089986015169145,0.03084496432075205,0.8795833102289295
7,0.7091424604205182,0.018092224310728607,0.8976755345396582
8,0.6711451068058771,0.017122804647996096,0.9147983391876543
9,0.6150767949531973,0.01569234387124183,0.9304906830588962
10,0.5063813312305645,0.012919216014728504,0.9434098990736246
11,0.28670312732647396,0.007314605427944656,0.9507245045015693
