component,eigenvalue,explained_variance_ratio,cumulative_variance
1,17.77695243464669,0.3049666840081633,0.3049666840081633
2,13.957711466601985,0.23944694671153421,0.5444136307196975
3,5.887944311089991,0.10100869981956112,0.6454223305392586
4,5.2344966145637954,0.08979869192225828,0.7352210224615169
5,3.0238925837768025,0.051875398635481386,0.7870964210969983
6,2.4793605770237854,0.04253385817480462,0.8296302792718029
7,1.9792177874768127,0.03395382238861086,0.8635841016604138
8,1.0706249206246987,0.018366755103820274,0.881950856764234
9,1.0039513707868866,0.01722295886091298,0.899173815625147
10,0.7790772373116808,0.013365204329743498,0.9125390199548905
11,0.7505157659581978,0.012875227364282885,0.9254142473191734
12,0.5997792869350984,0.010289317077593505,0.9357035643967669
13,0.42233154503664166,0.007245170470887219,0.9429487348676542
14,0.3459642897189795,0.0059350770391445665,0.9488838119067987
15,0.29276996199726724,0.005022519175642778,0.9539063310824415
