component,eigenvalue,explained_variance_ratio,cumulative_variance
1,12.135969850920652,0.447232963024669,0.447232963024669
2,4.98600643165823,0.1837435703518498,0.6309765333765187
3,2.287917418291369,0.08431399374814498,0.7152905271246637
4,2.1241505148291884,0.07827888008352019,0.7935694072081838
5,1.169142810962179,0.04308507766323591,0.8366544848714197
6,0.9512108366413333,0.035053880831782507,0.8717083657032022
7,0.7864025040598267,0.028980388575538092,0.9006887542787403
8,0.5835490138794689,0.021504861807780454,0.9221936160865207
9,0.3721582608365023,0.013714721093789637,0.9359083371803104
10,0.3515075576774707,0.012953704440336436,0.9488620416206468
11,0.26913684723364767,0.00991819122212888,0.9587802328427757
