hour,between_archetype_sd,within_archetype_sd,eta_squared,separation_ratio
0,0.006286820872608467,0.005953654430906171,0.3856934940053148,1.0559599898799612
1,0.006742634666444031,0.0045055125261279465,0.5778934286116136,1.496530001269062
2,0.006907387498796877,0.0033117778871300362,0.7589184830101002,2.0857037320165124
3,0.00696001046764193,0.003021152355649004,0.8002438566157614,2.3037601710579008
4,0.0063834294066443175,0.0036933714625457595,0.68544638607024,1.728347519706117
5,0.004742002845828124,0.005339554344870604,0.33378887107655125,0.8880896306231039
6,0.004763986305935964,0.0063977248572100855,0.2543663316520548,0.7446375723030764
7,0.005200673436081272,0.00691529293843391,0.27061554449281616,0.7520539595910533
8,0.004010259955040994,0.006573971369369939,0.19537287291701172,0.6100209036087336
9,0.005327076919954239,0.007000562623825002,0.2712331462061431,0.7609498273502486
10,0.008999931028341417,0.006370905375557145,0.5471243810530045,1.4126612306738837
11,0.011032617598824193,0.005814731617693455,0.6930823928893555,1.897356288165288
12,0.01200152310104974,0.006070871082874395,0.7202825094357476,1.9769029744191735
13,0.011992199978471016,0.005659923977111785,0.7522252438996923,2.118791705854421
14,0.011341558720226661,0.006610670824434911,0.6578987682006947,1.7156441488971208
15,0.009071303540367054,0.007150862798580884,0.5147400610225316,1.268560703215742
16,0.006064768185216622,0.008560020618048053,0.24499751123220084,0.7084992496898419
17,0.003987520730085643,0.008860770724605505,0.11123117239100928,0.4500196262851811
18,0.008458692166419549,0.008165065681771229,0.4081545119510152,1.0359613132450178
19,0.013165280807605423,0.008119954899153226,0.6240863100548425,1.621349006381592
20,0.016462684995650317,0.008100664815164065,0.7214449611268005,2.032263446431328
21,0.013971099409906783,0.008474816703281873,0.6022397093045544,1.6485429595776948
22,0.010291136638563066,0.0083922174921955,0.4430997640632468,1.2262714411457403
23,0.007655545977216365,0.007589968379986883,0.3503846859427818,1.0086400356294496
