feature,group,eta_squared,magnitude_correlation
base_load_share,shape descriptors,0.8742809985243817,-0.003810584008249761
weekend_ratio,timing,0.8328517507794204,0.042125447149388894
profile_ramp,timing,0.8119279122590262,-0.030537155618656546
shape_gini,shape descriptors,0.8110644424227716,0.0014887322847414023
harmonic_2_amplitude,shape descriptors,0.8029495172082025,0.018438478300816977
hour_3_shape,shape bins,0.8013331740995939,-0.029644851330916877
coefficient_of_variation,variability,0.8013190722637625,-0.003077679786568718
hour_2_shape,shape bins,0.759570187564979,0.0205374512579696
evening_share,timing,0.7549462699593879,0.03729670633699903
hour_13_shape,shape bins,0.7525680680595808,-0.04659244458590393
peak_concentration,timing,0.7476641274635318,0.001929103745244887
night_share,timing,0.729198849680869,0.013858031798070344
hour_20_shape,shape bins,0.72091099768418,0.009741182508108558
hour_12_shape,shape bins,0.7206410698736267,0.01020154102304199
hour_11_shape,shape bins,0.692265154729591,-0.00830137227738825
hour_4_shape,shape bins,0.687542123643448,-0.035041927312651065
shape_entropy,shape descriptors,0.6841981371761695,-0.01827014182301197
harmonic_1_amplitude,shape descriptors,0.6815678368567374,0.02448990310237195
p90_median_ratio,dispersion,0.6705533722347655,0.023332214747879554
hour_14_shape,shape bins,0.6586635208056556,-0.03958495971217559
haar_detail_l2,shape descriptors,0.6570583747671054,-0.03586147576697225
hour_19_shape,shape bins,0.6221350586425419,-0.017030014451097048
afternoon_share,timing,0.6150783170568365,-0.028407255117124313
night_day_ratio,timing,0.6073883879991785,0.03429868515520313
hour_21_shape,shape bins,0.6017248232622705,0.06870236228488842
daily_total_cv,dispersion,0.5979118273744639,-0.004119818044031476
weekend_shape_distance,timing,0.5914481870803845,-0.04778848643424791
hour_1_shape,shape bins,0.5774814795467308,0.043610257954078434
haar_detail_l1,shape descriptors,0.5628785025178958,-0.061914433826079265
hour_10_shape,shape bins,0.54792104160832,0.021356806802376508
peak_hour_cos,timing,0.5358814316076329,-0.023115510774260016
hour_15_shape,shape bins,0.5194569980735386,-0.06485714744225955
hour_22_shape,shape bins,0.4436674359692997,0.06225192382074362
harmonic_3_amplitude,shape descriptors,0.4283876605896981,-0.07045808289013981
peak_to_avg_ratio,variability,0.4260199525764209,-0.05035081747366205
hour_18_shape,shape bins,0.40631824912083336,-0.0535780256999582
hour_0_shape,shape bins,0.3863020485430905,0.13793845705692362
morning_share,timing,0.3757541330226462,-0.038586305672645954
haar_detail_l3,shape descriptors,0.3521638622394427,-0.08660890918378293
hour_23_shape,shape bins,0.3512339081724764,0.11398722849961213
hour_5_shape,shape bins,0.3357587427751431,-0.10448305214663119
hour_9_shape,shape bins,0.27121755059071256,0.028132188401273822
hour_7_shape,shape bins,0.2704960393072251,-0.0726065831049182
hour_6_shape,shape bins,0.25430839520818066,-0.12764724502704633
hour_16_shape,shape bins,0.24675680511671255,0.0057122937213830325
peak_hour_sin,timing,0.23895975513775744,0.02026858428007179
hour_8_shape,shape bins,0.19570151815431802,-0.016488356128549386
hour_17_shape,shape bins,0.11057246221901836,-0.001458429255783741
kurtosis,variability,0.048792287408259194,-0.003759025856197915
skewness,variability,0.02250190003455862,0.01726906189059833
weekend_cv_ratio,dispersion,0.011036350493315396,-0.032032807898824
