Component,Explained_Variance_Ratio,Cumulative_Variance
1,0.10827156656092435,0.10827156656092435
2,0.06848171778453918,0.17675328434546353
3,0.06640850397400566,0.2431617883194692
4,0.06239248807695496,0.30555427639642413
5,0.04624235999555146,0.35179663639197556
6,0.046002389714714806,0.3977990261066904
7,0.04140983928325743,0.4392088653899478
8,0.040764814776303074,0.47997368016625086
9,0.0385932830444733,0.5185669632107242
10,0.036837584689450496,0.5554045479001747
11,0.033900625210613086,0.5893051731107878
12,0.03281877370714151,0.6221239468179293
13,0.03205619745277255,0.6541801442707018
14,0.03176261962428854,0.6859427638949903
15,0.03066095855233836,0.7166037224473287
16,0.030113117340692608,0.7467168397880213
17,0.027813752849425496,0.7745305926374467
18,0.02753729568982579,0.8020678883272725
19,0.02729004983544169,0.8293579381627142
20,0.025148048344673248,0.8545059865073874
21,0.023097932149646668,0.877603918657034
22,0.02281634510374923,0.9004202637607832
23,0.021943281825783856,0.9223635455865671
24,0.020497273666210243,0.9428608192527773
25,0.019958985347687763,0.9628198046004651
