seed,arm,rule_selected,n_features,n_pca_components,cumulative_variance,optimal_k,silhouette,calinski_harabasz,davies_bouldin,stability_mean_ari,stability_std_ari,min_cluster_share,cluster_balance,cluster_sizes,scale_separation,shape_separation,archetype_ari,archetype_nmi,n_true_archetypes
42,scale,False,7,2,0.970207999867798,2,0.5207015729581402,230.1725512682012,0.7829477456368567,0.9833276417776796,0.017758793492894127,0.32,0.47058823529411764,"[64, 136]",0.7958732209896193,0.040740216786920504,-0.0035538317181855136,0.003253034549246757,4
42,shape,True,24,8,0.9529294620346727,4,0.32346480039579006,81.60351827546155,1.1893711186555138,0.9868486069254278,0.02630278614914423,0.175,0.5932203389830508,"[59, 59, 35, 47]",0.04665941532948891,0.7126561795046772,0.6455391215290222,0.6843282474215021,4
42,summary,False,27,11,0.9587802328427757,2,0.321496474890411,97.68446396872977,1.085068570988488,0.9860097306970147,0.012490230152886844,0.265,0.36054421768707484,"[147, 53]",0.01993909198742319,0.3020396060788205,0.3210978163503266,0.5209691686921254,4
42,behavioral,False,51,14,0.9526428075184417,3,0.3124209863345198,86.38602544364484,1.2540806743267057,0.9883670007514509,0.017482915069917258,0.245,0.5212765957446809,"[94, 57, 49]",0.024234368720629108,0.6173564895240938,0.6139744173887723,0.7029073445878486,4
42,combined,False,58,15,0.9539063310824415,3,0.27863006191621004,72.57588502627418,1.3864158034998713,0.9829106410413173,0.02300725361019661,0.245,0.5104166666666666,"[96, 55, 49]",0.03774468174032736,0.6148199919533779,0.6234645078886026,0.716094785298497,4
1,scale,False,7,2,0.9713083603775772,2,0.5158787630089395,228.5779332156253,0.7999251617712317,1.0,0.0,0.32,0.47058823529411764,"[64, 136]",0.8018619650852823,0.05783045481132163,-0.005065777227365454,0.0013868964501653786,4
1,shape,True,24,8,0.9507327682879869,3,0.3249330212553669,86.07657166078194,1.1494198518294703,0.9977433848470583,0.004513230305883553,0.22,0.4631578947368421,"[95, 61, 44]",0.08661888307420705,0.6427441980468696,0.5737649294643061,0.6600194058969852,4
1,summary,False,27,10,0.9526803988189138,2,0.3317862259757629,98.66152872937057,1.0438962208309608,0.9875612963817885,0.02487740723642355,0.26,0.35135135135135137,"[52, 148]",0.13840422833087448,0.33767796729555277,0.32395828426274537,0.5349090449561945,4
1,behavioral,False,51,14,0.952533269723626,3,0.32241006259665517,91.14357270905109,1.2169998208678352,0.9940293209716101,0.008038272644595255,0.215,0.4387755102040816,"[98, 43, 59]",0.11554191356769712,0.6378411992979149,0.5699748773679346,0.660826878219183,4
1,combined,False,58,15,0.9532584036762483,3,0.2894438120517624,76.79483753272531,1.33632273156379,1.0,0.0,0.215,0.43434343434343436,"[58, 99, 43]",0.10689638525505546,0.6367043231501935,0.575371386026171,0.6680188563165855,4
2,scale,False,7,2,0.9685422470933607,2,0.5502457544221002,225.11132089780725,0.7890411274825723,0.974666492005496,0.022658978393698154,0.205,0.2578616352201258,"[159, 41]",0.7954525411809624,0.04795109066885459,-0.0033903827117989873,0.0015174525625791008,4
2,shape,False,24,8,0.9512041677462544,3,0.31395526128346213,86.55336541742004,1.1839482242252708,1.0,0.0,0.305,0.8356164383561644,"[61, 66, 73]",0.016804182256664083,0.6378493440684733,0.5495239655469569,0.5984506178212924,4
2,summary,True,27,10,0.9507149197897689,4,0.3042541992331188,94.16589612121328,1.228667294662754,1.0,0.0,0.195,0.6964285714285714,"[39, 56, 50, 55]",0.09232882026580944,0.6676524638349465,0.7692759082498474,0.7954317551963004,4
2,behavioral,False,51,14,0.9536727823392908,3,0.29901602062414134,86.31117550861133,1.2143627584139864,0.9869300125852294,0.013472803201016768,0.29,0.7837837837837838,"[58, 74, 68]",0.05299926724993263,0.6202345176435594,0.5310906469082005,0.5826221616242674,4
2,combined,False,58,14,0.9501805268913188,3,0.2697199702814006,72.56854836624301,1.3274901005715003,0.966569910953512,0.037138795272394005,0.295,0.8082191780821918,"[59, 68, 73]",0.04060852266058292,0.6202455960283361,0.5305372890751404,0.5815028338710935,4
3,scale,False,7,2,0.9712113461183662,2,0.5642783215207632,231.810385994917,0.7397552929204798,0.9381070413476135,0.049420744802569326,0.215,0.27388535031847133,"[43, 157]",0.8125476143344866,0.04804848719058021,-0.0032303598247442958,0.0021160499854029867,4
3,shape,False,24,9,0.9549017893447885,3,0.313126199530705,89.96627818852676,1.123352059027649,1.0,0.0,0.27,0.675,"[54, 66, 80]",0.08533350154613135,0.6433892526015864,0.5691672767778398,0.6358730279767345,4
3,summary,True,27,10,0.952756239905777,3,0.3279920692571162,106.91093445769354,1.1885913560379173,0.9967565486275166,0.006486902744966505,0.24,0.4752475247524752,"[48, 101, 51]",0.11949059666525377,0.6177207356704525,0.6511445128723334,0.7681369421215415,4
3,behavioral,False,51,14,0.9523271779588186,3,0.3166542520716566,95.2645706070973,1.1870754734649862,1.0,0.0,0.24,0.5106382978723404,"[94, 58, 48]",0.1259524917301961,0.6341310958391005,0.5953063768518934,0.6849448296501296,4
3,combined,False,58,15,0.953145918690919,3,0.2859614013626388,79.62732343853538,1.307941735448882,1.0,0.0,0.24,0.5106382978723404,"[48, 94, 58]",0.1259524917301961,0.6341310958391005,0.5953063768518934,0.6849448296501297,4
4,scale,False,7,2,0.9700313293467142,6,0.46041509141963066,256.04530312949197,0.6556864945442393,1.0,0.0,0.055,0.18032786885245902,"[39, 51, 11, 13, 25, 61]",0.9484342238773416,0.3101281217235459,0.1330297687949582,0.26709738409880823,4
4,shape,False,24,8,0.9506027916458214,3,0.30050450033698384,82.67444656746551,1.2795013487454856,0.8875217589821457,0.07895692665653795,0.26,0.5652173913043478,"[92, 52, 56]",0.08133270131707244,0.6187988611240661,0.5383974416719215,0.5963759411526108,4
4,summary,False,27,11,0.9593309290454859,3,0.31615647721718737,97.8427227147403,1.1598990196392849,0.9779421505011184,0.016097920452781734,0.16,0.27586206896551724,"[32, 52, 116]",0.041187675387022206,0.5451067394202783,0.4510320865651967,0.6199360059196201,4
4,behavioral,True,51,14,0.9526373593928296,4,0.3096606655881594,86.06623089017597,1.2666964591314922,0.9905652950987925,0.010205621701156718,0.175,0.5737704918032787,"[61, 50, 35, 54]",0.08562933450652091,0.6881431181896444,0.7776380938814645,0.8017679006440286,4
4,combined,False,58,15,0.9539521111711224,3,0.2641249925930337,71.96957436610315,1.4054410669718902,1.0,0.0,0.26,0.5591397849462365,"[93, 55, 52]",0.07571991692581356,0.610454727812242,0.5910771106665587,0.6716778983649135,4
5,scale,False,7,2,0.974196570000097,2,0.608511886538693,208.28713327142805,0.7361124055132621,1.0,0.0,0.15,0.17647058823529413,"[170, 30]",0.7632989959486991,0.06482401130157601,-3.5628972832908216e-05,0.008934421085181481,4
5,shape,False,24,8,0.9506926538574217,3,0.32030559940319814,82.8527654042003,1.2037382895511655,1.0,0.0,0.305,0.7922077922077922,"[77, 62, 61]",0.08251624317307436,0.6228881083882493,0.5444548169482528,0.589975186999787,4
5,summary,True,27,11,0.957802520903402,4,0.3285305307042226,99.4527762452241,1.112233117107936,0.997379315247373,0.005241369505254401,0.225,0.8490566037735849,"[53, 50, 52, 45]",0.09645209470434832,0.6738532754280175,0.9106343487651155,0.9103295128017596,4
5,behavioral,False,51,14,0.9514967216957844,3,0.31661885506004744,87.19492631262693,1.2473560584864096,0.993787039241863,0.012425921516274176,0.29,0.6987951807228916,"[83, 58, 59]",0.07919363701903076,0.6166960102565913,0.5849784784093739,0.6430642247555383,4
5,combined,False,58,15,0.9527174388947912,3,0.2865571595965685,72.36195470458398,1.3717808213975342,0.9388265661497469,0.047178875930446375,0.26,0.5777777777777777,"[58, 90, 52]",0.09200721750328339,0.6180465117693023,0.6106407439761402,0.6783637268672257,4
6,scale,False,7,2,0.9705131733058354,2,0.5056596670307378,242.55134879459985,0.8011979858822003,0.9959399600875347,0.00812007982493057,0.32,0.47058823529411764,"[64, 136]",0.8306354024131358,0.03070401776308582,-0.005443763604660439,0.0009135546703779631,4
6,shape,False,24,8,0.9533725008403724,3,0.3034390204378178,79.30135435737391,1.172184782840263,0.9409381401766699,0.09293110358231511,0.235,0.5949367088607594,"[74, 47, 79]",0.06298152084028578,0.6198872514465985,0.5084234320367952,0.573263251287867,4
6,summary,False,27,10,0.9520737276751411,4,0.31985415567669223,99.71062383555504,1.1071859663930568,0.9859537032442239,0.010539150912956647,0.225,0.8490566037735849,"[45, 51, 53, 51]",0.03751958983528177,0.693804380840476,0.8850741056299081,0.8664876317201464,4
6,behavioral,True,51,14,0.9541047855844463,4,0.31018649614774446,87.23919814279992,1.174499953911286,1.0,0.0,0.23,0.8679245283018868,"[51, 53, 50, 46]",0.0739559071188958,0.6985495159153273,0.9211473017637988,0.9039219503019269,4
6,combined,False,58,15,0.9551364163311832,3,0.2715881323141944,71.3926455451695,1.4149368906453004,1.0,0.0,0.245,0.5104166666666666,"[55, 96, 49]",0.054664029026959084,0.6011379041636283,0.612256009518775,0.6938165639549955,4
7,scale,False,7,2,0.9695129812800065,2,0.5150681854174103,244.95741163978403,0.7893011799321004,1.0,0.0,0.335,0.5037593984962406,"[133, 67]",0.8292030734890726,0.03629959144613252,0.00022254314051536962,0.007931838216193827,4
7,shape,False,24,8,0.9503254881624381,5,0.34047649599069535,78.40395455841521,1.1569900690820085,0.9482948430469221,0.034231228310517836,0.11,0.4074074074074074,"[46, 24, 54, 54, 22]",0.21201742867182566,0.7561029627332031,0.7241841701974218,0.7410068994318175,4
7,summary,True,27,11,0.9584232319333889,4,0.31131024379344363,93.11777492447729,1.1240952573022527,1.0,0.0,0.245,0.9607843137254902,"[50, 50, 49, 51]",0.11753804017401805,0.6683915676256764,0.9600673695208697,0.9469218122473159,4
7,behavioral,False,51,14,0.9518433898380574,4,0.2974257928690362,83.73758598553832,1.1979626570191837,0.9974036682997618,0.005192663400476682,0.24,0.9056603773584906,"[48, 50, 53, 49]",0.11727657886023649,0.6911561330050415,0.959813205485525,0.9517709083685741,4
7,combined,False,58,15,0.9536108118746943,3,0.27518771369033773,70.62627587149709,1.4005317135200785,0.9858448170462809,0.010328386247565838,0.295,0.8194444444444444,"[69, 59, 72]",0.117988398627198,0.615802209819829,0.581049571731934,0.6417016895652807,4
