cluster,feature,importance,direction
0,evening_share,0.08921494773480519,pushes into
0,hour_12_shape,0.08048635589551688,pushes into
0,hour_11_shape,0.047185307845391024,pushes into
0,hour_13_shape,0.044829079908732895,pushes into
0,hour_20_shape,0.0349102460648268,pushes into
0,hour_1_shape,0.032377987120756006,pushes into
0,harmonic_2_amplitude,0.03192110220684337,pushes into
0,hour_23_shape,0.02355652819002,pushes into
0,weekend_ratio,0.021805029296432722,pushes into
0,hour_21_shape,0.021522506796350552,pushes into
1,peak_concentration,0.08642870353633596,pushes into
1,hour_3_shape,0.06902681585509975,pushes into
1,shape_entropy,0.06578708416881308,pushes into
1,p90_median_ratio,0.061323927171971056,pushes into
1,base_load_share,0.06009810302134016,pushes into
1,profile_ramp,0.05759224722441487,pushes into
1,shape_gini,0.05343012061015574,pushes into
1,hour_4_shape,0.047282179621643376,pushes into
1,coefficient_of_variation,0.042769858853389756,pushes into
1,haar_detail_l1,0.04212992798267972,pushes into
2,hour_13_shape,0.1124206956694622,pushes into
2,harmonic_2_amplitude,0.11003958588791067,pushes into
2,hour_11_shape,0.058914939376127795,pushes into
2,hour_12_shape,0.05850398752398462,pushes into
2,profile_ramp,0.05336491926984717,pushes into
2,hour_14_shape,0.04959300330687183,pushes into
2,haar_detail_l1,0.026173281095745255,pushes into
2,hour_20_shape,0.024306249732065095,pushes into
2,haar_detail_l2,0.02354019591988673,pushes into
2,peak_concentration,0.02314635673364672,pushes into
3,hour_13_shape,0.0492406623875251,pushes into
3,hour_12_shape,0.04919371726847427,pushes into
3,harmonic_2_amplitude,0.041710103978249626,pushes into
3,evening_share,0.04153257791620426,pushes into
3,profile_ramp,0.040466945000630736,pushes into
3,hour_11_shape,0.03751259668847603,pushes into
3,weekend_ratio,0.026187220331488646,pushes into
3,peak_concentration,0.024933208218342814,pushes into
3,shape_entropy,0.021648819456064627,pushes into
3,hour_3_shape,0.021328289157837823,pushes into
