cluster,cluster_name,rank,priority,category,observation,evidence,cluster_value,population_value,relative_to_population,action
0,Flat All-Day,1,high,timing,"This cluster draws an unusually large share of its energy overnight (00:00 to 06:00), when household activity is normally low.","night_share is 20.9% against a population 15.8%, 32% above the population value.",0.20912064639882935,0.15814192417998793,1.3223605788482782,"Investigate standing load rather than behaviour. A high overnight share usually points at equipment that runs continuously, which responds to efficiency measures and not to scheduling."
0,Flat All-Day,2,high,peak_management,"This cluster stays close to its own average all day, with a lower peak-to-average ratio than the population.","peak_to_avg_ratio is 3.356 against a population 5.502, 39% below the population value.",3.356161043765293,5.501575735878792,0.6100363250255607,"There is little peak to manage here. Any reduction has to come from the level of the base load, not from moving it in time."
0,Flat All-Day,3,high,variability,Consumption within this cluster is steadier from hour to hour than the population average.,"coefficient_of_variation is 0.253 against a population 0.511, 50% below the population value.",0.2534943371716227,0.5108802467137618,0.496191306675538,Predictable demand makes this group a reasonable baseline for forecasting and for measuring the effect of any intervention on the other clusters.
1,Evening-Peaking Weekend-Heavy,1,high,weekend,This cluster's weekend timing differs more from its weekday timing than is typical.,"weekend_shape_distance is 0.102 against a population 0.071, 43% above the population value.",0.10187090905588304,0.07140943828675758,1.4265748548084343,"A single fixed daily schedule fits this group poorly. If a time-of-use scheme is applied, evaluate weekday and weekend windows separately."
1,Evening-Peaking Weekend-Heavy,2,medium,timing,A larger share of this cluster's daily energy falls in the evening block (18:00 to 24:00) than for the population.,"evening_share is 35.2% against a population 29.1%, 21% above the population value.",0.351959138916476,0.290641501743321,1.2109734391178155,"Check which evening loads are deferrable, such as water heating, laundry and dishwashing, and test whether a time-of-use signal moves them. Measure the effect on a subset before assuming any change."
1,Evening-Peaking Weekend-Heavy,3,medium,peak_management,This cluster reaches a higher peak relative to its own average than the population does.,"peak_to_avg_ratio is 6.467 against a population 5.502, 18% above the population value.",6.466536304273064,5.501575735878792,1.175397125245634,"This group contributes disproportionately to peak demand, so it is where demand limiting or a capacity-based tariff would have the most effect. Confirm the peaks are coincident with system peak before acting."
1,Evening-Peaking Weekend-Heavy,4,medium,weekend,This cluster uses more energy on weekend days relative to weekdays than the population does.,"weekend_ratio is 1.204 against a population 1.036, 16% above the population value.",1.2035956095488913,1.0363048730108018,1.161430039455528,"Weekend exposure matters for this group, so check whether the tariff in force distinguishes weekends. A weekday-only time-of-use schedule would miss most of their consumption."
1,Evening-Peaking Weekend-Heavy,5,medium,variability,Consumption within this cluster varies more from hour to hour than the population average.,"coefficient_of_variation is 0.620 against a population 0.511, 21% above the population value.",0.6203496860216648,0.5108802467137618,1.2142761244187175,"Short-term forecasts for this group will carry more error, so allow for that when sizing reserve or planning storage. Sub-metering would show whether the variation comes from one device or from many."
2,Midday-Peaking Weekday-Heavy,1,medium,timing,This cluster concentrates its energy in the midday block (12:00 to 18:00).,"afternoon_share is 35.0% against a population 29.0%, 21% above the population value.",0.3498899388758531,0.290164350633954,1.2058336529329328,"Midday demand overlaps the hours when rooftop solar generates most, so evaluate on-site generation or a midday tariff for this group before considering load shifting."
2,Midday-Peaking Weekday-Heavy,2,medium,weekend,This cluster uses less energy on weekend days relative to weekdays than the population does.,"weekend_ratio is 0.852 against a population 1.036, 18% below the population value.",0.8524590533663814,1.0363048730108018,0.8225948517348098,"Consumption is concentrated on weekdays, which is consistent with an occupancy pattern tied to a working week. Weekday-targeted measures reach this group; weekend measures largely do not."
