component,eigenvalue,explained_variance_ratio,cumulative_variance
1,17.394279050404936,0.33935897363044915,0.33935897363044915
2,14.845740663796915,0.2896374894211358,0.628996463051585
3,5.905855651156586,0.11522208574315297,0.7442185487947379
4,3.227889822275394,0.06297549751301992,0.8071940463077578
5,2.2620341171731404,0.044131842089946555,0.8513258883977044
6,1.8815173594959325,0.03670803475879318,0.8880339231564975
7,1.043871975031198,0.02036573755207925,0.9083996607085768
8,0.8915079810229323,0.017393145904270928,0.9257928066128477
9,0.6526791250352686,0.01273364175313906,0.9385264483659868
10,0.6134132409246791,0.011967572053334423,0.9504940204193212
